W[1][0][0]=0.740868  W[1][0][1]=3.28418  W[1][0][2]=3.14804  W[1][1][0]=-4.8724  W[1][1][1]=-0.76185  W[1][1][2]=-0.144351  W[1][2][0]=1.11471  W[1][2][1]=-0.458719  W[1][2][2]=0.00265761  W[1][3][0]=-1.20829  W[1][3][1]=1.15265  W[1][3][2]=0.0185228  W[2][0][0]=5.39387  W[2][0][1]=3.32731  W[2][0][2]=0.160072  W[2][0][3]=2.22592  W[2][0][4]=0.952099  W[2][1][0]=0.952099  W[2][1][1]=1.21731  W[2][1][2]=-0.406808  W[2][1][3]=1.18291  W[2][1][4]=2.85285  W[2][2][0]=2.85285  W[2][2][1]=3.01739  W[2][2][2]=-0.849133  W[2][2][3]=0.826141  W[2][2][4]=4.11191  W[2][3][0]=4.11191  W[2][3][1]=1.94695  W[2][3][2]=-1.60045  W[2][3][3]=0.262657  W[2][3][4]=3.51571  W[3][0][0]=3.51571  W[3][0][1]=1.69418  W[3][0][2]=4.04898  W[3][0][3]=4.01533  W[3][0][4]=6.13884  W[3][1][0]=6.13884  W[3][1][1]=0.645762  W[3][1][2]=1.2094  W[3][1][3]=1.07916  W[3][1][4]=3.94914  W[4][0][0]=9.7317  W[4][0][1]=6.30877  W[4][0][2]=7.17167  

W[1][0][0]=0.731588  W[1][0][1]=3.28697  W[1][0][2]=3.14943  W[1][1][0]=-4.88054  W[1][1][1]=-0.756303  W[1][1][2]=-0.144028  W[1][2][0]=1.10186  W[1][2][1]=-0.471734  W[1][2][2]=-0.0010325  W[1][3][0]=-1.20493  W[1][3][1]=1.13672  W[1][3][2]=0.0438581  W[2][0][0]=5.42863  W[2][0][1]=3.33053  W[2][0][2]=0.178819  W[2][0][3]=2.22171  W[2][0][4]=0.934793  W[2][1][0]=0.934793  W[2][1][1]=1.23704  W[2][1][2]=-0.406106  W[2][1][3]=1.21552  W[2][1][4]=2.86461  W[2][2][0]=2.86461  W[2][2][1]=3.03696  W[2][2][2]=-0.848143  W[2][2][3]=0.831442  W[2][2][4]=4.1719  W[2][3][0]=4.1719  W[2][3][1]=1.95441  W[2][3][2]=-1.61718  W[2][3][3]=0.245837  W[2][3][4]=3.55789  W[3][0][0]=3.55789  W[3][0][1]=1.71126  W[3][0][2]=4.07225  W[3][0][3]=4.05667  W[3][0][4]=6.16084  W[3][1][0]=6.16084  W[3][1][1]=0.664497  W[3][1][2]=1.22099  W[3][1][3]=1.08145  W[3][1][4]=3.97309  W[4][0][0]=9.79178  W[4][0][1]=6.34797  W[4][0][2]=7.21331  

W[1][0][0]=0.723261  W[1][0][1]=3.29075  W[1][0][2]=3.15111  W[1][1][0]=-4.88878  W[1][1][1]=-0.750685  W[1][1][2]=-0.145515  W[1][2][0]=1.08492  W[1][2][1]=-0.485192  W[1][2][2]=-0.00569842  W[1][3][0]=-1.20152  W[1][3][1]=1.12045  W[1][3][2]=0.0676656  W[2][0][0]=5.46107  W[2][0][1]=3.33074  W[2][0][2]=0.196123  W[2][0][3]=2.21646  W[2][0][4]=0.918943  W[2][1][0]=0.918943  W[2][1][1]=1.25596  W[2][1][2]=-0.404677  W[2][1][3]=1.24687  W[2][1][4]=2.87581  W[2][2][0]=2.87581  W[2][2][1]=3.05738  W[2][2][2]=-0.846671  W[2][2][3]=0.836898  W[2][2][4]=4.2302  W[2][3][0]=4.2302  W[2][3][1]=1.96283  W[2][3][2]=-1.63141  W[2][3][3]=0.226558  W[2][3][4]=3.59949  W[3][0][0]=3.59949  W[3][0][1]=1.72766  W[3][0][2]=4.09455  W[3][0][3]=4.09635  W[3][0][4]=6.18282  W[3][1][0]=6.18282  W[3][1][1]=0.682916  W[3][1][2]=1.23149  W[3][1][3]=1.08355  W[3][1][4]=3.99533  W[4][0][0]=9.84993  W[4][0][1]=6.38412  W[4][0][2]=7.25423  

W[1][0][0]=0.71441  W[1][0][1]=3.29578  W[1][0][2]=3.15289  W[1][1][0]=-4.89648  W[1][1][1]=-0.747115  W[1][1][2]=-0.14788  W[1][2][0]=1.06698  W[1][2][1]=-0.499706  W[1][2][2]=-0.0105051  W[1][3][0]=-1.19956  W[1][3][1]=1.10385  W[1][3][2]=0.0908457  W[2][0][0]=5.49224  W[2][0][1]=3.32873  W[2][0][2]=0.21317  W[2][0][3]=2.20954  W[2][0][4]=0.90375  W[2][1][0]=0.90375  W[2][1][1]=1.27428  W[2][1][2]=-0.40288  W[2][1][3]=1.2781  W[2][1][4]=2.88456  W[2][2][0]=2.88456  W[2][2][1]=3.07819  W[2][2][2]=-0.845854  W[2][2][3]=0.842985  W[2][2][4]=4.28583  W[2][3][0]=4.28583  W[2][3][1]=1.97159  W[2][3][2]=-1.64591  W[2][3][3]=0.20616  W[2][3][4]=3.64093  W[3][0][0]=3.64093  W[3][0][1]=1.7438  W[3][0][2]=4.11567  W[3][0][3]=4.13402  W[3][0][4]=6.20634  W[3][1][0]=6.20634  W[3][1][1]=0.701199  W[3][1][2]=1.24109  W[3][1][3]=1.0853  W[3][1][4]=4.01532  W[4][0][0]=9.90601  W[4][0][1]=6.41755  W[4][0][2]=7.29379  

W[1][0][0]=0.703909  W[1][0][1]=3.3009  W[1][0][2]=3.1536  W[1][1][0]=-4.90601  W[1][1][1]=-0.740416  W[1][1][2]=-0.149879  W[1][2][0]=1.04933  W[1][2][1]=-0.513978  W[1][2][2]=-0.0161653  W[1][3][0]=-1.19801  W[1][3][1]=1.08944  W[1][3][2]=0.112035  W[2][0][0]=5.52237  W[2][0][1]=3.32429  W[2][0][2]=0.228843  W[2][0][3]=2.20282  W[2][0][4]=0.889157  W[2][1][0]=0.889157  W[2][1][1]=1.2927  W[2][1][2]=-0.400799  W[2][1][3]=1.30858  W[2][1][4]=2.89196  W[2][2][0]=2.89196  W[2][2][1]=3.10052  W[2][2][2]=-0.845159  W[2][2][3]=0.850088  W[2][2][4]=4.33823  W[2][3][0]=4.33823  W[2][3][1]=1.98172  W[2][3][2]=-1.66066  W[2][3][3]=0.184744  W[2][3][4]=3.68106  W[3][0][0]=3.68106  W[3][0][1]=1.75955  W[3][0][2]=4.13606  W[3][0][3]=4.17009  W[3][0][4]=6.23217  W[3][1][0]=6.23217  W[3][1][1]=0.719207  W[3][1][2]=1.24991  W[3][1][3]=1.08663  W[3][1][4]=4.03342  W[4][0][0]=9.96021  W[4][0][1]=6.44872  W[4][0][2]=7.33228  

